Date,Event,Fighter1,Fighter2,Method,Note,Result,Round,Time,Time (secs),Weight class
1998-10-16,UFC Brazil: Ultimate Brazil,Tsuyoshi Kosaka,Pete Williams,Decision,-,def.,1.0,15:00,900,Heavyweight
1998-10-16,UFC Brazil: Ultimate Brazil,Frank Shamrock (c),John Lober,Submission (punches),[a],def.,1.0,7:40,460,Middleweight
1999-01-08,UFC 18: The Road to the Heavyweight Title,Laverne Clark,Frank Caracci,Submission (strikes),-,def.,1.0,6:59,419,Lightweight
1999-01-08,UFC 18: The Road to the Heavyweight Title,Bas Rutten,Tsuyoshi Kosaka,TKO (punches),-,def.,1.0,14:15,855,Heavyweight
1999-01-08,UFC 18: The Road to the Heavyweight Title,Pedro Rizzo,Mark Coleman,Split decision,-,def.,1.0,15:00,900,Heavyweight
1999-01-08,UFC 18: The Road to the Heavyweight Title,Tito Ortiz,Jerry Bohlander,TKO (cut),-,def.,1.0,14:31,871,Middleweight
1999-01-08,UFC 18: The Road to the Heavyweight Title,Mikey Burnett,Townsend Saunders,Unanimous decision,-,def.,1.0,15:00,900,Lightweight
1999-01-08,UFC 18: The Road to the Heavyweight Title,Evan Tanner,Darrel Gholar,Submission (rear naked choke),-,def.,1.0,7:57,477,Middleweight
1999-01-08,UFC 18: The Road to the Heavyweight Title,Pat Miletich (c),Jorge Patino,Unanimous decision,[a],def.,1.0,21:00,1260,Lightweight
1999-03-05,UFC 19: Ultimate Young Guns,Jeremy Horn,Chuck Liddell,Technical Submission (inverted arm-triangle choke),-,def.,1.0,12:00,720,Middleweight
1999-03-05,UFC 19: Ultimate Young Guns,Kevin Randleman,Maurice Smith,Decision (unanimous),-,def.,1.0,15:00,900,Heavyweight
1999-03-05,UFC 19: Ultimate Young Guns,Evan Tanner,Valeri Ignatov,TKO (punches and elbows),-,def.,1.0,2:57,177,Middleweight
1999-03-05,UFC 19: Ultimate Young Guns,Pete Williams,Jason Godsey,Submission (kneebar),-,def.,1.0,1:54,114,Heavyweight
1999-03-05,UFC 19: Ultimate Young Guns,Sione Latu,Joey Roberts,TKO (doctor stoppage),-,def.,1.0,10:01,601,Middleweight
1999-03-05,UFC 19: Ultimate Young Guns,Tito Ortiz,Guy Mezger,TKO (punches),-,def.,1.0,9:55,595,Middleweight
1999-03-05,UFC 19: Ultimate Young Guns,Gary Goodridge,Andre Roberts,TKO (submission to punches),-,def.,1.0,0:42,42,Heavyweight
1999-05-07,UFC 20: Battle for the Gold,Ron Waterman,Chris Condo,TKO (punches),-,def.,1.0,0:28,28,Heavyweight
1999-05-07,UFC 20: Battle for the Gold,Bas Rutten,Kevin Randleman,Decision (split),[a],def.,1.0,21:00,1260,Heavyweight
1999-05-07,UFC 20: Battle for the Gold,Pedro Rizzo,Tra Telligman,KO (punch),-,def.,1.0,4:30,270,Heavyweight
1999-05-07,UFC 20: Battle for the Gold,LaVerne Clark,Fabiano Iha,TKO (doctor stoppage),-,def.,1.0,1:33,93,Lightweight
