BODY_1,BODY_2,CLINCH_1,CLINCH_2,DISTANCE_1,DISTANCE_2,Date,Event,Fighter_1,Fighter_2,GROUND_1,GROUND_2,HEAD_1,HEAD_2,KD_1,KD_2,LEG_1,LEG_2,METHOD,PASS_1,PASS_2,REFEREE,REV_1,REV_2,ROUND,SIG_STR_1,SIG_STR_2,SUB_ATT_1,SUB_ATT_2,TD_1,TD_2,TIME,TIME_FORMAT,TOTAL_STR_1,TOTAL_STR_2,pSIG_STR_1,pSIG_STR_2,pTD_1,pTD_2
4 of 4,0 of 0,3 of 3,0 of 0,1 of 1,0 of 0,1995-07-14,UFC 6: Clash of the Titans,Patrick Smith,Rudyard Moncayo,2 of 4,0 of 0,2 of 4,0 of 0,1,0,0 of 0,0 of 0,Submission,1,0,John McCarthy,0,0,1,6 of 8,0 of 0,1,0,2 of 2,0 of 1,1:08,1 Rnd (20),10 of 13,2 of 2,75%,0%,100%,0%
1 of 2,0 of 3,5 of 10,4 of 20,3 of 12,5 of 13,1995-07-14,UFC 6: Clash of the Titans,Paul Varelans,Cal Worsham,0 of 0,0 of 0,7 of 19,9 of 30,1,0,0 of 1,0 of 0,KO/TKO,0,0,John McCarthy,0,0,1,8 of 22,9 of 33,0,0,0 of 0,0 of 1,1:02,1 Rnd (20),12 of 27,11 of 35,36%,27%,0%,0%
0 of 0,0 of 0,6 of 6,0 of 0,0 of 1,0 of 0,1995-07-14,UFC 6: Clash of the Titans,David Abbott,John Matua,1 of 5,0 of 0,7 of 12,0 of 0,2,0,0 of 0,0 of 0,KO/TKO,0,0,John McCarthy,0,0,1,7 of 12,0 of 0,0,0,0 of 0,0 of 0,0:20,1 Rnd (20),7 of 12,0 of 0,58%,0%,0%,0%
--,--,--,--,--,--,1995-07-14,UFC 6: Clash of the Titans,Anthony Macias,He-Man Gipson,--,--,--,--,--,--,--,--,KO/TKO,--,--,John McCarthy,--,--,1,--,--,--,--,--,--,3:06,1 Rnd (20),--,--,--,--,--,--
--,--,--,--,--,--,1995-07-14,UFC 6: Clash of the Titans,Joel Sutton,Jack McGlaughlin,--,--,--,--,--,--,--,--,KO/TKO,--,--,John McCarthy,--,--,1,--,--,--,--,--,--,2:01,1 Rnd (20),--,--,--,--,--,--
0 of 0,2 of 2,2 of 3,3 of 3,27 of 49,7 of 27,1995-09-08,UFC 7: The Brawl in Buffalo,Marco Ruas,Paul Varelans,4 of 7,0 of 0,9 of 25,3 of 19,1,0,24 of 34,5 of 9,KO/TKO,1,0,John McCarthy,0,0,1,33 of 59,10 of 30,0,1,0 of 0,0 of 0,13:17,1 Rnd + OT (30-5),54 of 84,36 of 63,55%,33%,0%,0%
2 of 2,0 of 0,0 of 0,2 of 2,1 of 3,0 of 2,1995-09-08,UFC 7: The Brawl in Buffalo,Marco Ruas,Remco Pardoel,3 of 4,0 of 0,1 of 2,0 of 1,0,0,1 of 3,2 of 3,Submission,2,0,John McCarthy,1,0,1,4 of 7,2 of 4,2,2,0 of 0,1 of 1,12:27,1 Rnd (20),11 of 18,4 of 7,57%,50%,0%,100%
0 of 0,0 of 1,0 of 0,0 of 1,0 of 1,2 of 2,1995-09-08,UFC 7: The Brawl in Buffalo,Paul Varelans,Mark Hall,2 of 2,0 of 0,2 of 3,1 of 1,0,0,0 of 0,1 of 1,Submission,2,0,John McCarthy,0,0,1,2 of 3,2 of 3,2,0,1 of 1,0 of 0,1:01,1 Rnd (20),4 of 6,4 of 5,66%,66%,100%,0%
0 of 0,4 of 4,1 of 1,0 of 0,0 of 0,0 of 0,1995-09-08,UFC 7: The Brawl in Buffalo,Marco Ruas,Larry Cureton,0 of 0,6 of 7,1 of 1,2 of 3,0,0,0 of 0,0 of 0,Submission,1,0,John McCarthy,0,1,1,1 of 1,6 of 7,3,1,1 of 1,0 of 0,3:23,1 Rnd (20),2 of 2,11 of 14,100%,85%,100%,0%
2 of 4,0 of 1,4 of 6,1 of 4,8 of 29,3 of 18,1995-09-08,UFC 7: The Brawl in Buffalo,Ken Shamrock,Oleg Taktarov,17 of 23,0 of 0,26 of 53,3 of 17,0,0,1 of 1,1 of 4,Other,1,0,John McCarthy,0,0,2,29 of 58,4 of 22,1,0,1 of 1,0 of 2,3:00,1 Rnd + OT (30-3),180 of 222,110 of 128,50%,18%,100%,0%
